Class Name,Objects,Shallow Heap,Retained Heap,Percentage of Retained Heap
java.lang.ref.ReferenceQueue,2,96,113,0.011
sun.font.FontStrikeDisposer,0,74,74,0.01
com.sun.jmx.mbeanserver.OpenConverter$IdentityConverter,0,74,74,0.01
java.net.Socket,0,53,74,0.01
java.lang.ref.Reference$ReferenceHandler,0,93,155,0.009
sun.rmi.transport.tcp.TCPTransport,0,3,71,0.009
sun.management.GarbageCollectorImpl,0,21,71,0.009
javax.management.StandardMBean,0,0,68,0.008
sun.awt.FontDescriptor,0,8,68,0.008
sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl,0,34,68,0.008
java.lang.ref.Finalizer$FinalizerThread,0,93,148,0.007
java.nio.DirectByteBuffer,0,64,64,0.007
sun.java2d.loops.CompositeType,0,64,64,0.007
java.net.SocketInputStream,0,61,61,0.007
sun.font.StrikeCache$SoftDisposerRef,0,61,61,0.007
java.lang.ref.PhantomReference,0,44,61,0.007
java.awt.Color,0,61,61,0.007
java.io.ObjectStreamField[],0,17,58,0.007
javax.management.remote.rmi.RMIJRMPServerImpl,0,15,58,0.007
sun.font.CompositeStrike,0,15,58,0.007
sun.awt.AWTAutoShutdown,0,8,53,0.007
java.util.LinkedList,0,15,53,0.007
sun.awt.SunHints$Key,0,53,53,0.007
java.awt.RenderingHints,0,0,53,0.007
java.awt.Component$BltSubRegionBufferStrategy,0,12,51,0.007
javax.swing.plaf.FontUIResource,0,47,47,0.007
sun.awt.im.InputMethodContext,0,21,47,0.007
java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask,0,12,44,0.006
sun.awt.AWTAutoShutdown$PeerMap,0,12,44,0.006
sun.management.VMManagementImpl,0,3,44,0.006
javax.management.MBeanOperationInfo[],0,42,42,0.006
java.lang.ThreadLocal,0,42,42,0.006
java.awt.color.ICC_ColorSpace,0,21,42,0.006
java.lang.Thread$State,0,34,34,0.004
sun.management.MemoryImpl,0,3,34,0.004
java.util.logging.Level,0,34,34,0.004
java.util.zip.Inflater,0,34,34,0.004
java.awt.AWTKeyStroke,0,34,34,0.004
sun.swing.PrintColorUIResource,0,34,34,0.004
sun.management.MemoryManagerImpl,0,3,34,0.004
com.sun.jmx.mbeanserver.OpenConverter$ArrayConverter,0,34,34,0.004
javax.management.NotificationFilterSupport,0,0,34,0.004
sun.awt.windows.WFontPeer,0,12,30,0.004
sun.awt.windows.WInputMethod,0,15,26,0.004
com.sun.jmx.mbeanserver.OpenConverter$EnumConverter,0,25,25,0.004
sun.java2d.windows.Win32OffScreenSurfaceData,0,25,25,0.004
javax.swing.BufferStrategyPaintManager$BufferInfo,0,3,25,0.004
javax.swing.plaf.metal.OceanTheme,0,0,25,0.004
com.sun.jmx.interceptor.DefaultMBeanServerInterceptor$ListenerWrapper,0,25,25,0.004
java.lang.ref.ReferenceQueue$Null,0,47,69,0.004
com.sun.jmx.mbeanserver.OpenConverter$TabularConverter,0,21,21,0.004
javax.swing.border.BevelBorder,0,21,21,0.004
java.awt.geom.AffineTransform,0,21,21,0.004
sun.instrument.InstrumentationImpl,0,8,21,0.004
sun.font.Font2DHandle,0,21,21,0.004
com.sun.jmx.mbeanserver.OpenConverter$CollectionConverter,0,21,21,0.004
java.lang.ClassLoader,0,55,55,0.003
java.lang.Object,2,34,34,0.003
java.awt.color.ICC_ProfileRGB,0,8,17,0.003
java.security.AccessControlContext,0,35,82,0.003
java.io.FileOutputStream,0,47,64,0.003
javax.swing.plaf.basic.LazyActionMap,0,15,15,0.003
sun.reflect.NativeMethodAccessorImpl,0,15,15,0.003
com.sun.jmx.mbeanserver.PerInterface$MethodAndSig,0,3,15,0.003
javax.swing.plaf.InsetsUIResource,0,15,15,0.003
java.rmi.server.ObjID,0,3,15,0.003
sun.java2d.loops.RenderLoops,0,15,15,0.003
sun.awt.image.SunVolatileImage,0,15,15,0.003
java.awt.Insets,0,15,15,0.003
javax.management.MBeanNotificationInfo[],0,15,15,0.003
javax.swing.LayoutFocusTraversalPolicy,0,8,15,0.003
javax.swing.border.EtchedBorder,0,15,15,0.003
com.sun.jmx.mbeanserver.ConvertingMethod,0,3,15,0.003
com.sun.jmx.mbeanserver.MXBeanSupport,0,8,12,0.002
sun.java2d.loops.DrawGlyphList,0,12,12,0.002
sun.java2d.loops.FillSpans,0,12,12,0.002
javax.management.remote.rmi.RMIConnectionImpl$RMIServerCommunicatorAdmin,0,12,12,0.002
sun.java2d.loops.FillPath,0,12,12,0.002
sun.java2d.windows.DDBlitLoops,0,12,12,0.002
sun.java2d.loops.DrawGlyphListLCD,0,12,12,0.002
sun.java2d.loops.DrawRect,0,12,12,0.002
com.sun.management.OperatingSystem,0,0,12,0.002
sun.java2d.loops.FillRect,0,12,12,0.002
java.util.WeakHashMap$Entry,0,12,12,0.002
sun.java2d.loops.DrawPath,0,12,12,0.002
sun.font.FontDesignMetrics$KeyReference,0,12,12,0.002
sun.java2d.loops.DrawGlyphListAA,0,12,12,0.002
java.awt.Cursor,0,8,12,0.002
sun.awt.windows.WingDings,0,3,12,0.002
sun.java2d.loops.DrawLine,0,12,12,0.002
sun.java2d.windows.WinVolatileSurfaceManager,0,12,12,0.002
sun.awt.Symbol,0,3,12,0.002
sun.java2d.loops.DrawPolygons,0,12,12,0.002
java.lang.Object[],0,4321,162656,0.002
java.security.CodeSource,0,27,68,0.001
java.nio.charset.CodingErrorAction,0,16,16,0.001
java.lang.Boolean,0,16,16,0.001
com.sun.jmx.mbeanserver.JmxMBeanServer,0,8,8,0.001
java.awt.Dialog$ModalExclusionType,0,8,8,0.001
java.awt.BasicStroke,0,8,8,0.001
java.net.InetAddress$Cache$Type,0,8,8,0.001
javax.management.MBeanConstructorInfo[],0,8,8,0.001
javax.swing.plaf.metal.MetalLookAndFeel,0,3,8,0.001
sun.management.jmxremote.LocalRMIServerSocketFactory$1,0,3,8,0.001
java.lang.InheritableThreadLocal,0,8,8,0.001
java.util.concurrent.locks.AbstractQueuedSynchronizer$Node,0,8,8,0.001
javax.swing.ToolTipManager$Actions,0,8,8,0.001
sun.rmi.transport.WeakRef,0,8,8,0.001
sun.awt.Win32GraphicsConfig,0,3,3,0.001
java.util.concurrent.locks.ReentrantLock$NonfairSync,0,3,3,0.001
sun.rmi.server.UnicastServerRef2,0,3,3,0.001
java.net.InetAddress,0,3,3,0.001
sun.nio.cs.MS1252,0,3,3,0.001
sun.management.RuntimeImpl,0,3,3,0.001
java.awt.font.FontRenderContext,0,3,3,0.001
sun.rmi.transport.LiveRef,0,3,3,0.001
java.net.Inet4Address,0,3,3,0.001
java.math.RoundingMode,0,3,3,0.001
javax.swing.border.EmptyBorder,0,3,3,0.001
java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject,0,3,3,0.001
byte[],30,1625,1625,0.001
java.io.FileInputStream,0,16,25,0.001
java.lang.ref.ReferenceQueue$Lock,0,16,16,0.001
java.util.Collections$EmptyList,0,10,10,0.001
java.nio.ByteOrder,0,0,0,0.001
sun.awt.image.PixelConverter$UshortGray,0,0,0,0.001
javax.swing.ToolTipManager$MoveBeforeEnterListener,0,0,0,0.001
